,Project Loan/Credit/Grant,"Principal, US$","Available, US$","Disbursed, US$",Country,Status,Approval Date
149,IBRD95770,"600,000,000.00","600,000,000.00",-,Philippines,Effective,6/29/2023
150,IDA73220,"185,000,000.00",-,"185,000,000.00",Kenya,Disbursing,5/26/2023
151,IDA73230,"315,000,000.00",-,"315,000,000.00",Kenya,Disbursing,5/26/2023
152,IBRD95250,"500,000,000.00",-,"500,000,000.00",Kenya,Disbursing,5/26/2023
153,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
154,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
155,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
156,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
157,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
158,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
159,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
160,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
161,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
162,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
163,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
164,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
165,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
166,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
167,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
168,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
169,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
170,IDA73670,"263,824,069.00","257,440,026.00",-,Viet Nam,Approved,6/29/2023
171,IBRD95550,"150,000,000.00","150,000,000.00",-,Ecuador,Signed,6/9/2023
172,IBRD95790,"450,000,000.00","448,875,000.00","1,125,000.00",Turkiye,Disbursing,6/27/2023
173,IDA73750,"56,570,000.00","56,570,000.00",-,India,Approved,6/29/2023
174,IBRD95740,"1,443,430,000.00","1,443,430,000.00",-,India,Approved,6/29/2023
175,IBRD95780,"1,500,000,000.00",-,"1,500,000,000.00",Ukraine,Disbursing,6/29/2023
176,IBRD95800,"1,000,000,000.00","971,002,725.01",-,Turkiye,Effective,6/27/2023
177,IBRD95580,"116,400,000.00","113,043,700.00",-,Croatia,Effective,6/22/2023
178,IDAE1970,"23,000,000.00","22,308,137.34","166,291.90",Tuvalu,Disbursing,5/19/2023
179,IBRD95620,"200,000,000.00","200,000,000.00",-,Angola,Signed,6/22/2023
180,IBRD95420,"750,000,000.00",-,"750,000,000.00",Colombia,Disbursing,6/14/2023
181,IBRD95630,"700,000,000.00","700,000,000.00",-,Mexico,Approved,6/23/2023
182,IBRD95750,"600,000,000.00","541,825,661.19",-,Indonesia,Approved,6/26/2023
183,IBRD95770,"600,000,000.00","600,000,000.00",-,Philippines,Effective,6/29/2023
184,IDA73220,"185,000,000.00",-,"185,000,000.00",Kenya,Disbursing,5/26/2023
185,IDA73230,"315,000,000.00",-,"315,000,000.00",Kenya,Disbursing,5/26/2023
186,IBRD95250,"500,000,000.00",-,"500,000,000.00",Kenya,Disbursing,5/26/2023
187,IDA73380,"100,000,000.00","100,000,000.00",-,Zambia,Signed,6/9/2023
188,IBRD95760,"200,000,000.00","200,000,000.00",-,Lebanon,Approved,6/28/2023
189,IDA73330,"213,000,000.00","192,348,275.63",-,Pakistan,Effective,5/25/2023
190,IDA73420,"100,000,000.00",-,"99,107,284.00",Madagascar,Disbursing,6/8/2023
191,IBRD94680,"103,500,000.00","61,226,336.34","45,887,820.68",Ukraine,Disbursing,12/20/2022
192,IDAE1540,"100,000,000.00","50,496,575.12","50,000,000.00",Malawi,Disbursing,12/21/2022
193,IDA73260,"28,000,000.00","27,465,526.00",-,Madagascar,Effective,5/24/2023
194,IDAE1910,"5,400,000.00","5,387,974.00",-,Comoros,Effective,5/24/2023
195,IDAE1920,"215,000,000.00","208,525,546.13","1,601,787.09",South Sudan,Disbursing,5/24/2023
196,IDAE1930,"5,000,000.00","4,993,732.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
197,IDAE1940,"4,000,000.00","3,942,420.00",-,Regional - Eastern and Southern Africa,Effective,5/24/2023
198,IDAE1950,"125,000,000.00","122,215,020.00",-,Mozambique,Effective,5/24/2023
199,IBRD94730,"200,000,000.00","200,000,000.00",-,Dominican Republic,Signed,1/23/2023
200,IDAE1960,"10,000,000.00",-,"10,000,425.00",Samoa,Disbursing,6/1/2023
201,IDAE2020,"50,000,000.00","48,886,008.00",-,Regional - Eastern and Southern Africa,Effective,6/1/2023
202,IDA73650,"150,000,000.00","150,000,000.00",-,Ghana,Approved,6/23/2023
203,IDA73660,"50,000,000.00","50,000,000.00",-,Ghana,Approved,6/23/2023
204,IDA73670,"263,824,069.00","257,440,026.00",-,Viet Nam,Approved,6/29/2023
205,IBRD95550,"150,000,000.00","150,000,000.00",-,Ecuador,Signed,6/9/2023
206,IBRD95790,"450,000,000.00","448,875,000.00","1,125,000.00",Turkiye,Disbursing,6/27/2023
